chain,iter,beta,score_soxR,score_cpxR
0,3660,0.042940000000000006,-13632.0,-4174.0
0,3670,0.043030000000000006,-11075.0,-2086.0
0,3680,0.043120000000000006,-14670.0,-3781.0
0,3690,0.043210000000000005,-14036.0,-5893.0
0,3700,0.043300000000000005,-11607.0,-3657.0
0,3710,0.043390000000000005,-11663.0,-5218.0
0,3720,0.043480000000000005,-12676.0,-1941.0
0,3730,0.043570000000000005,-15342.0,-2608.0
0,3740,0.043660000000000004,-16831.0,-5330.0
0,3750,0.043750000000000004,-17437.0,-4101.0
0,3760,0.043840000000000004,-14480.0,-5376.0
0,3770,0.043930000000000004,-14027.0,-6104.0
0,3780,0.044020000000000004,-14473.0,-5071.0
0,3790,0.04411,-11867.0,-3170.0
0,3800,0.0442,-17361.0,-4597.0
0,3810,0.04429,-15345.0,-4496.0
0,3820,0.04438000000000001,-15121.0,-5780.0
0,3830,0.04447000000000001,-15126.0,-6149.0
0,3840,0.04456000000000001,-17045.0,-4262.0
0,3850,0.04465000000000001,-11925.0,-4909.0
0,3860,0.04474000000000001,-15739.0,-3889.0
0,3870,0.04483000000000001,-14268.0,-6522.0
0,3880,0.04492000000000001,-17888.0,-1907.0
0,3890,0.04501000000000001,-17327.0,-7248.0
0,3900,0.04510000000000001,-14040.0,-3830.0
0,3910,0.04519000000000001,-15556.0,-3381.0
0,3920,0.04528000000000001,-14960.0,-4017.0
0,3930,0.04537000000000001,-15455.0,-2569.0
0,3940,0.04546000000000001,-10744.0,-2602.0
0,3950,0.04555000000000001,-13323.0,-5308.0
0,3960,0.04564000000000001,-12653.0,-3084.0
0,3970,0.04573000000000001,-8501.0,-3662.0
0,3980,0.04582000000000001,-15430.0,-3557.0
0,3990,0.045910000000000006,-15478.0,-3593.0
0,4000,0.046000000000000006,-13553.0,-3892.0
0,4010,0.046090000000000006,-14075.0,-4745.0
0,4020,0.046180000000000006,-16342.0,-5602.0
0,4030,0.046270000000000006,-14274.0,-4087.0
0,4040,0.046360000000000005,-15696.0,-3709.0
0,4050,0.046450000000000005,-10801.0,-4617.0
0,4060,0.04654000000000001,-16929.0,-4234.0
0,4070,0.046630000000000005,-13915.0,-3674.0
0,4080,0.046720000000000005,-12378.0,-4342.0
0,4090,0.046810000000000004,-14563.0,-3480.0
0,4100,0.046900000000000004,-16424.0,-5607.0
0,4110,0.046990000000000004,-17469.0,-6726.0
0,4120,0.047080000000000004,-12656.0,-4767.0
0,4130,0.047170000000000004,-16013.0,-3160.0
0,4140,0.04726,-14090.0,-3029.0
0,4150,0.04735,-14990.0,-3879.0
0,4160,0.04744,-15813.0,-5542.0
0,4170,0.04753,-13826.0,-2185.0
0,4180,0.04762,-15003.0,-4482.0
0,4190,0.04771,-15362.0,-6036.0
0,4200,0.0478,-13171.0,-3585.0
0,4210,0.04789,-14114.0,-3583.0
0,4220,0.04798,-12241.0,-5173.0
0,4230,0.04807000000000001,-15403.0,-1141.0
0,4240,0.04816000000000001,-16744.0,-4084.0
0,4250,0.04825000000000001,-14181.0,-4387.0
0,4260,0.04834000000000001,-10050.0,-2822.0
0,4270,0.04843000000000001,-14300.0,-2264.0
0,4280,0.04852000000000001,-14943.0,-3436.0
0,4290,0.04861000000000001,-14415.0,-3556.0
0,4300,0.04870000000000001,-10138.0,-2892.0
0,4310,0.04879000000000001,-14673.0,-6037.0
0,4320,0.04888000000000001,-13210.0,-4612.0
0,4330,0.04897000000000001,-9298.0,-3238.0
0,4340,0.049060000000000006,-15969.0,-3335.0
0,4350,0.049150000000000006,-14187.0,-4622.0
0,4360,0.049240000000000006,-14795.0,-3059.0
0,4370,0.049330000000000006,-13977.0,-1220.0
0,4380,0.049420000000000006,-15870.0,-4953.0
0,4390,0.049510000000000005,-14531.0,-2889.0
0,4400,0.049600000000000005,-18146.0,-3298.0
0,4410,0.049690000000000005,-13101.0,-5210.0
0,4420,0.049780000000000005,-16514.0,-4543.0
0,4430,0.049870000000000005,-17640.0,-5358.0
0,4440,0.049960000000000004,-13284.0,-3713.0
0,4450,0.050050000000000004,-14595.0,-5497.0
0,4460,0.050140000000000004,-14050.0,-5377.0
0,4470,0.05023000000000001,-13117.0,-5416.0
0,4480,0.05032000000000001,-15629.0,-4769.0
0,4490,0.05041000000000001,-15798.0,-6171.0
0,4500,0.05050000000000001,-16473.0,-5084.0
0,4510,0.05059000000000001,-13811.0,-4491.0
0,4520,0.05068000000000001,-11031.0,-4987.0
0,4530,0.05077000000000001,-15776.0,-3756.0
0,4540,0.05086000000000001,-9720.0,-4911.0
0,4550,0.05095000000000001,-14043.0,-5904.0
0,4560,0.05104000000000001,-15431.0,-4802.0
0,4570,0.05113000000000001,-20796.0,-5445.0
0,4580,0.05122000000000001,-11404.0,-4722.0
0,4590,0.05131000000000001,-18031.0,-4238.0
0,4600,0.05140000000000001,-17690.0,-3516.0
0,4610,0.05149000000000001,-16531.0,-3116.0
0,4620,0.05158000000000001,-16262.0,-7511.0
0,4630,0.05167000000000001,-14115.0,-5010.0
0,4640,0.05176000000000001,-15759.0,-3442.0
0,4650,0.05185000000000001,-10945.0,-3902.0
0,4660,0.05194000000000001,-13940.0,-4863.0
0,4670,0.05203000000000001,-16417.0,-3660.0
0,4680,0.05212000000000001,-15315.0,-4138.0
0,4690,0.052210000000000006,-15534.0,-6455.0
0,4700,0.052300000000000006,-15978.0,-6142.0
0,4710,0.052390000000000006,-16407.0,-6104.0
0,4720,0.052480000000000006,-17340.0,-3531.0
0,4730,0.052570000000000006,-17720.0,-4574.0
0,4740,0.052660000000000005,-14513.0,-5392.0
0,4750,0.052750000000000005,-13440.0,-1308.0
0,4760,0.052840000000000005,-11087.0,-4130.0
