chain,draw,score_cpxR,score_soxR
0,8050,-503.0,-491.0
0,8060,-503.0,-491.0
0,8070,-503.0,-491.0
0,8080,-503.0,-491.0
0,8090,-503.0,-491.0
0,8100,-503.0,-491.0
0,8110,-503.0,-491.0
0,8120,-503.0,-491.0
0,8130,-503.0,-491.0
0,8140,-503.0,-491.0
0,8150,-503.0,-491.0
0,8160,-503.0,-491.0
0,8170,-503.0,-491.0
0,8180,-503.0,-491.0
0,8190,-503.0,-491.0
0,8200,-503.0,-491.0
0,8210,-503.0,-491.0
0,8220,-503.0,-491.0
0,8230,-503.0,-491.0
0,8240,-503.0,-491.0
0,8250,-503.0,-491.0
0,8260,-503.0,-491.0
0,8270,-503.0,-491.0
0,8280,-503.0,-491.0
0,8290,-503.0,-491.0
0,8300,-503.0,-491.0
0,8310,-503.0,-491.0
0,8320,-503.0,-491.0
0,8330,-503.0,-491.0
0,8340,-503.0,-491.0
0,8350,-503.0,-491.0
0,8360,-503.0,-491.0
0,8370,-503.0,-491.0
0,8380,-503.0,-491.0
0,8390,-503.0,-491.0
0,8400,-503.0,-491.0
0,8410,-503.0,-491.0
0,8420,-503.0,-491.0
0,8430,-503.0,-491.0
0,8440,-503.0,-491.0
0,8450,-503.0,-491.0
0,8460,-503.0,-491.0
0,8470,-503.0,-491.0
0,8480,-503.0,-491.0
0,8490,-503.0,-491.0
0,8500,-503.0,-491.0
0,8510,-503.0,-491.0
0,8520,-503.0,-491.0
0,8530,-503.0,-491.0
0,8540,-503.0,-491.0
0,8550,-503.0,-491.0
0,8560,-503.0,-491.0
0,8570,-503.0,-491.0
0,8580,-503.0,-491.0
0,8590,-503.0,-491.0
0,8600,-503.0,-491.0
0,8610,-503.0,-491.0
0,8620,-503.0,-491.0
0,8630,-503.0,-491.0
0,8640,-503.0,-491.0
0,8650,-503.0,-491.0
0,8660,-503.0,-491.0
0,8670,-503.0,-491.0
0,8680,-503.0,-491.0
0,8690,-503.0,-491.0
0,8700,-503.0,-491.0
0,8710,-503.0,-491.0
0,8720,-503.0,-491.0
0,8730,-503.0,-491.0
0,8740,-503.0,-491.0
0,8750,-503.0,-491.0
0,8760,-503.0,-491.0
0,8770,-503.0,-491.0
0,8780,-503.0,-491.0
0,8790,-503.0,-491.0
0,8800,-503.0,-491.0
0,8810,-503.0,-491.0
0,8820,-503.0,-491.0
0,8830,-503.0,-491.0
0,8840,-503.0,-491.0
0,8850,-503.0,-491.0
0,8860,-503.0,-491.0
0,8870,-503.0,-491.0
0,8880,-503.0,-491.0
0,8890,-503.0,-491.0
0,8900,-503.0,-491.0
0,8910,-503.0,-491.0
0,8920,-503.0,-491.0
0,8930,-503.0,-491.0
0,8940,-503.0,-491.0
0,8950,-503.0,-491.0
0,8960,-503.0,-491.0
0,8970,-503.0,-491.0
0,8980,-503.0,-491.0
0,8990,-503.0,-491.0
0,9000,-503.0,-491.0
0,9010,-503.0,-491.0
0,9020,-503.0,-491.0
0,9030,-503.0,-491.0
0,9040,-503.0,-491.0
0,9050,-503.0,-491.0
0,9060,-503.0,-491.0
0,9070,-503.0,-491.0
0,9080,-503.0,-491.0
0,9090,-503.0,-491.0
0,9100,-503.0,-491.0
0,9110,-503.0,-491.0
0,9120,-503.0,-491.0
0,9130,-503.0,-491.0
0,9140,-503.0,-491.0
0,9150,-503.0,-491.0
0,9160,-503.0,-491.0
0,9170,-503.0,-491.0
0,9180,-503.0,-491.0
0,9190,-503.0,-491.0
0,9200,-503.0,-491.0
